member,term,age
"Lou Barletta, R-PA",4th term,61
"Beto O'Rourke, D-TX",3rd term,45
"Kyrsten Sinema, D-AZ",3rd term,41
"Jacky Rosen, D-NV",1st term,60
"Marsha Blackburn, R-TN",8th term,65
"Evan Jenkins, R-WV",2nd term,57
"Todd Rokita, R-IN",4th term,47
"Luke Messer, R-IN",3rd term,48
